genome_accession	biosample	strain	strain2	strain3	genome	species	short-read_or_long-read	assembly_BUSCO_complete	annotation	annotation_BUSCO_complete	reference	isolation_location	isolation_environment	notes	notes_naming
NA	NA	CBS144490			CBS144490	Paecilomyces_variotii	long-read	0.976855	yes	0.986877	this study	Australia	Culture contaminant	long-read version of CBS144490	
GCA_043882565	SAMN40250926	CMW18161	CBS118903	CMW-IA-005736	CMW18161	Paecilomyces_dactylethromorphus	short-read	0.975424	yes	0.989501	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043882455	SAMN40250927	CMW18162	CBS124448	CMW-IA-005737	CMW18162	Paecilomyces_dactylethromorphus	short-read	0.976139	yes	0.989501	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043882485	SAMN40250928	CMW18163	CBS124331	CMW-IA-005738	CMW18163	Paecilomyces_dactylethromorphus	short-read	0.976378	yes	0.989979	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043882515	SAMN40250924	CMW18165	CBS124304	CMW-IA-004822	CMW18165	Paecilomyces_lecythidis	short-read	0.980673	yes	0.99141	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Pinus)		
GCA_043882585	SAMN40250922	CMW18166	CBS124305	CMW-IA-005020	CMW18166	Paecilomyces_lecythidis	short-read	0.980196	yes	0.992126	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043882685	SAMN40250922	CMW18169	CBS118899	CMW-IA-000560	CMW18169	Paecilomyces_lecythidis	short-read	0.97948	yes	0.991887	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Pinus)		
GCA_043882365	SAMN40250929	CMW18171		CMW-IA-005740	CMW18171	Paecilomyces_lignorum	short-read	0.975662	yes	0.987354	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043884725	SAMN40250930	CMW18172		CMW-IA-005741	CMW18172	Paecilomyces_lignorum	short-read	0.976855	yes	0.98807	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
GCA_043882395	SAMN40250931	CMW18174		CMW-IA-005743	CMW18174	Paecilomyces_lignorum	short-read	0.976139	yes	0.98807	Visagie.etal.2024 (https://doi.org/10.3114/fuse.2024.13.10)	South Africa	Wooden utility pole (Eucalyptus)		
